Asset,Full_Name,Correlation_vs_Portfolio,Correlation_vs_AOS_Portfolio,Asset_Volatility,Portfolio_Volatility,Avg_Market_Value,Observations
AP GRANGE HOLDINGS LLC 5 03/20/2045,AP GRANGE HOLDINGS LLC 5 03/20/2045,0.5240887298226771,-0.03075194773212681,0.01283659208622327,0.29381998035288864,505451.388875,11
AP FIDES HOLDINGS I LLC 6 11/30/2048,AP FIDES HOLDINGS I LLC 6 11/30/2048,0.22816363053560249,0.7553030965718017,1.8749571496675086,0.2518919596530039,1094189.768746392,221
AP HERMES HOLDINGS I LLC 6.25 07/25/2048,AP HERMES HOLDINGS I LLC 6.25 07/25/2048,0.1762733142940221,0.7305646345964983,1.8751310243836719,0.2518919596530039,831028.0894788152,221
AP CHIA ISSUER LLC 7.25 05/23/2050,AP CHIA ISSUER LLC 7.25 05/23/2050,0.17551568625236863,0.20091923344960458,0.1587804819505792,0.19110473163083758,1580532.1644378505,106
NORTH HAVEN PRIVATE INCOME FUND LLC 8.92 03/01/2027,NORTH HAVEN PRIVATE INCOME FUND LLC 8.92 03/01/2027,0.14609039138170166,0.27391650463506856,0.6984506650946803,0.18189733390673002,1186575.4456349285,55
VB DPR Fin 6.83781 03/15/2035,VB DPR Fin 6.83781 03/15/2035,0.13690880008789083,-0.07089983029820333,0.021273950846355198,0.19572930527919913,1229179.1387946426,27
AP MAIA HOLDINGS I LLC 5.5 07/28/2047,AP MAIA HOLDINGS I LLC 5.5 07/28/2047,0.13308418513936984,0.6275964881625675,1.242855947692052,0.298077323971051,473273.6678064999,113
AGL ENERGY LTD 7.91 12/08/2035,AGL ENERGY LTD 7.91 12/08/2035,0.09457667713785299,0.2624634096833969,0.6923999708734798,0.2518919596530039,1456707.5626876354,221
AP GRANGE HLDS DEFERRED INT ONLY,AP GRANGE HLDS DEFERRED INT ONLY,0.0746543807607846,0.2579011095067479,3.8779886471007203,0.2518919596530039,98460.40595586487,221
AP GRANGE HOLDINGS LLC 6.5 03/20/2045,AP GRANGE HOLDINGS LLC 6.5 03/20/2045,-0.016353578649282358,-0.021499104487783662,0.34020898144911127,0.2518919596530039,1836697.4773823784,221
AP ORYX HOLDINGS LLC 6.1 09/08/2043,AP ORYX HOLDINGS LLC 6.1 09/08/2043,-0.11066668153098692,-0.09056591860830426,0.4830730111049283,0.24984830024806656,565962.8913570736,203
VB DPR Fin 7.11847 03/15/2035,VB DPR Fin 7.11847 03/15/2035,-0.2686869200091559,-0.2796343459443808,0.5174234794267676,0.17928573420915214,1029477.9568890498,19
AP GRANGE HLDS SUB DEFRRD INT ONLY  03/20/2045,AP GRANGE HLDS SUB DEFRRD INT ONLY  03/20/2045,,,0.0,0.29381998035288864,13055.56,11
HPS CORPORATE LENDING FUND 8.8 09/14/2028,HPS CORPORATE LENDING FUND 8.8 09/14/2028,,,0.0,0.2732558379182586,542088.888889,4
